NAME,COST,Kcal,Fat,Carb,Protien,Fiber,MealSize,Ingrediants Needed,,
MIN,0,1300,0,0,46,70,0,,,
MAX,999,1500,999,999,999,999,999,,,
Baby Carrots 100g,0.5,70,0.2,16,1.2,5.8,0.5,Baby Carrots 100g,,
Brocoli,0.5,58,0,9.4,4.7,4.7,0.5,Brocoli 100g,,
Cheese Stick,0.69,70,5,0,3,0,0.5,Cheese Stick,,
Brownie Bites,0.3,100,4,14,0,0,0.5,Brownie Bites,,
Yogurt Bar,0.33,110,2.5,10,4,7,0.5,Yogurt Bar,,
Chocolate Granola,0.6,100,3,10,4,4,0.5,Chocolate Granola,,
FV Cappucino,0.1,50,2,8,0,0,0,FV Cappucino,,
Chocolate instant pudding,1,80,0,16,0,0,1,Chocolate pudding mix,Milk,Milk
Kraft Easy Mac,0.8,210,3,39,6,1,2,Easy Mac,,
Frapp 8oz,1,70,1.5,0,10,3,1,Frappe 1srv,,
Frapp 16oz,2,130,3.5,24,20,5,2,Frappe 1srv,Frappe 1srv,
Potatoe Instant,1.2,160,2,32,4,2,2,Instant Potatoe,,
Spicy Chicken Soup,1,380,14,56,8,2,2,Spicy Chicken Noodle Bowl,,
Cappucino,0.2,50,2,8,0,0,0,Cappucino FV,,
Special K Cookies and Creme,0.5,100,2,20,0,1,1,Special K Cookie,,
Special K Strawberry Crisp,0.5,100,2,20,1,1,1,Special K Strawberry,,
Thai Tuna,1.35,210,7,21,18,1,2,Thai Tuna,,
Pringles 100cal,0.45,100,4.5,11,1,1,1,Pringle 100cal,,
Special K Dark Chocolate,0.5,100,3,17,0,4,1,Special K Dark Chocolate,,
Special K Fudge Pretzel,0.5,100,3.5,15,2,1,1,Special K Fudge Pretzel,,
Celery 100g,0.25,16,0.2,3,0.7,1.6,1,100g Celery,,
Fuji Apple,1,130,0,34,1,5,1,½ lb apple,,
4 Big Pickles,1.5,66,0.831,14.123,3.323,5.8,1,4 Big Pickles,,
8 Artichoke Quarters,1.5,108,8,12,2,0,1,8 Artichokes,,
Sectioned Grapefruit Light Syrup 1c,1.75,152,0.3,39.2,1.4,1,1,1c Grapefruit,,
16 Olives,0.75,100,10,4,0,0,1,16 Olives,,
SF Jello,0.25,10,0,2,0,0,1,1/2c Jello,,
Ramen,0.25,380,14,52,8,1.6,2,Brick Ramen,,
Cup O noodle,0.35,300,13,38,6,2,2,Cup O Noodle,,
Nally HOT Chili,2,561,14,70,36,20,2,Nally Hot Chili,,
Tillamok Marrionberry,1,170,1.5,34,7,0,1,Tillamok Yogurt Marrionberry,,
Maple Brownsugar Oatmeal,0.75,160,2,32,4,3,1,Oatmeal Brown Sugar,,
